InputID,MasterFrame,ID,Mag,Magerr,RA,Decl,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
10222-12701,1009016050876,6122200901631029706,13.706602,0.0529155877767987,43.0975,-8.51048,4.52,0,6122200901631,54091.199212824,1.36,30,3139.5,3980.44,131062,379,0,8.1,3.354,5.36,0
10222-12701,1009016050876,6122200901641030150,13.716068,0.0529029129062144,43.09746,-8.51043,4.5,0,6122200901641,54091.2051677429,1.37,30,3161.91,3977.31,131669,376,0,8,3.439,5.3,0
10222-12701,1009016050876,6010700901611025385,13.739794,0.0531308537972528,43.09741,-8.51042,4.59,0,6010700901611,53742.1228727428,1.35,30,3204.56,3963.68,121436,318,0,7.9,3.446,5.11,0
10222-12701,1009016050876,6010700901621025180,13.685648,0.0529891058659045,43.09744,-8.51046,4.4,0,6010700901621,53742.1313507175,1.35,30,3204.85,3943.67,127633,357,0,7.8,3.612,5.18,0
10222-12701,1009016050876,6010700901631025014,13.712865,0.0530566204615718,43.09752,-8.51042,4.47,0,6010700901631,53742.1398252081,1.35,30,3216.99,3971.57,124616,331,0,7.6,3.498,5.06,0
10222-12701,1009016050876,6010700901641025321,13.73626,0.0531127671970269,43.09749,-8.51045,4.43,0,6010700901641,53742.1482895138,1.35,30,3197.2,3968.23,122198,314,0,8.6,3.554,5.17,0
10222-12701,1009016050876,6012900901611025215,13.731971,0.0537611774010605,43.0976,-8.51046,4.63,0,6012900901611,53764.091633067,1.35,30,3227.08,4014.47,99173.703125,309,0,8.5,3.598,4.94,0
10222-12701,1009016050876,6111700901611029755,13.707977,0.0528018063975742,43.09746,-8.5105,4.52,0,6111700901611,54056.2744852663,1.35,30,3206.31,4001.14,136687,390,2,8.4,3.446,5.3,0
10222-12701,1009016050876,6111700901621029576,13.697938,0.0527768837630327,43.0975,-8.51045,4.63,0,6111700901621,54056.2809132407,1.35,30,3205.74,3981.23,137974,391,0,8.1,3.373,5.39,0
10222-12701,1009016050876,6111700901631029571,13.714542,0.0528143685005453,43.09746,-8.51046,4.41,0,6111700901631,54056.2873319676,1.35,30,3197.4,4004.32,136046,381,0,8.3,3.557,5.39,0
10222-12701,1009016050876,6111700901641029068,13.714132,0.0528083591073076,43.0975,-8.51046,4.92,0,6111700901641,54056.2937709489,1.36,30,3221.18,3999.88,136352,376,2,8.5,3.454,5.28,0
10222-12701,1009016050876,6112300901611029738,13.724244,0.0528275671228884,43.09747,-8.51049,4.47,0,6112300901611,54062.2585106134,1.35,30,3227.36,4001.97,135378,346,2,8,3.499,5.33,0
10222-12701,1009016050876,6112300901621030050,13.708957,0.0527870604960639,43.09754,-8.51048,4.49,0,6112300901621,54062.266415868,1.35,30,3230.21,3981.44,137446,371,0,8.1,3.587,5.36,0
10222-12701,1009016050876,6112300901631029815,13.728381,0.052832594914861,43.09752,-8.51046,4.56,0,6112300901631,54062.2742685648,1.35,30,3220.94,4005.02,135125,341,0,8.1,3.588,5.27,0
10222-12701,1009016050876,6112300901641029771,13.722313,0.0528300889591796,43.09747,-8.51045,4.51,0,6112300901641,54062.2821794907,1.36,30,3244.12,4000.81,135251,344,0,7.8,3.712,5.24,0
10222-12701,1009016050876,6100400901611029041,13.735335,0.0529544110532565,43.09757,-8.51049,4.52,0,6100400901611,54012.3682741318,1.37,30,3173.12,4033.86,129232,300,0,8.2,3.529,4.82,0
10222-12701,1009016050876,6100400901621029201,13.742636,0.0529696826912151,43.09731,-8.51041,4.71,0,6100400901621,54012.3736277544,1.36,30,3175.11,4015.59,128524,280,2,7.7,3.564,4.78,0
10222-12701,1009016050876,6100400901631028913,13.745294,0.0529822565204652,43.09749,-8.51049,4.35,0,6100400901631,54012.3789818403,1.35,30,3163.84,4038.91,127946,294,0,7.7,3.556,4.85,0
10222-12701,1009016050876,6100400901641029053,13.766038,0.0530340951971865,43.09743,-8.51047,4.3,0,6100400901641,54012.3843256249,1.35,30,3185.99,4035.97,125609,276,0,8.3,3.627,4.8,0
10222-12701,1009016050876,6102100901611030057,13.718464,0.0528389971019564,43.09741,-8.51046,4.1,0,6102100901611,54029.3099089931,1.39,30,3167.51,3998.19,134804,340,0,8.2,3.485,5.33,0
10222-12701,1009016050876,6102100901621029807,13.703231,0.0527937265760357,43.09749,-8.51046,4.95,0,6102100901621,54029.3206844097,1.37,30,3169.02,3975.68,137102,361,0,8,3.523,5.15,0
10222-12701,1009016050876,6102100901631029767,13.724372,0.0528416973487109,43.0975,-8.51045,4.93,0,6102100901631,54029.3315202547,1.35,30,3159.01,3996.81,134669,341,0,8.5,3.516,5.12,0
10222-12701,1009016050876,6102100901641029621,13.721994,0.0528356830858105,43.09747,-8.51048,4.51,0,6102100901641,54029.3422998381,1.35,30,3183.82,3991.89,134970,351,0,8.1,3.557,5.28,0
10222-12701,1009016050876,6103100901611029550,13.714545,0.0528214085304286,43.09742,-8.5105,4.3,0,6103100901611,54039.2890346758,1.38,30,3192.97,4039.99,135689,339,0,7.8,3.541,5.13,0
10222-12701,1009016050876,6103100901621029491,13.717266,0.0528259608045259,43.09752,-8.51048,4.53,0,6103100901621,54039.2955381251,1.36,30,3195.16,4020.54,135459,336,0,8.5,3.566,5.08,0
10222-12701,1009016050876,6103100901631029543,13.714892,0.0528319183138517,43.09743,-8.51047,4.56,0,6103100901631,54039.3020640276,1.36,30,3181.65,4044.72,135159,331,2,7.7,3.587,5.14,0
10222-12701,1009016050876,6103100901641029183,13.720921,0.0528509932126112,43.09739,-8.51049,4.31,0,6103100901641,54039.3099373379,1.35,30,3207.07,4040.26,134206,332,0,8.5,3.651,5.2,0
10222-12701,1009016050876,6092500901611034105,13.713135,0.0528033101278222,43.09743,-8.51045,4.35,0,6092500901611,54003.4205842246,1.35,30,3216.96,4011.98,136610,380,2,8.2,3.62,5.53,0
10222-12701,1009016050876,6092500901621034361,13.726437,0.0528297114208711,43.09751,-8.51045,4.58,0,6092500901621,54003.4301213888,1.35,30,3218.07,3990.32,135270,371,0,8.3,3.546,5.49,0
10222-12701,1009016050876,6092500901631033912,13.717512,0.0528063414857275,43.09747,-8.51044,4.69,0,6092500901631,54003.4397047339,1.36,30,3206.55,4011.84,136455,374,0,8.1,3.69,5.5,0
10222-12701,1009016050876,6092500901641030501,13.722475,0.0528221992888131,43.09746,-8.51051,5.15,0,6092500901641,54003.4492670139,1.37,30,3230.98,4006.93,135649,362,0,8.7,3.559,5.3,0
10222-12701,1009016050876,7110200901611030110,13.744466,0.0529682097277514,43.09753,-8.51047,4.51,0,7110200901611,54406.2692775,1.41,30,3226.39,4051.51,128592,338,0,7.8,3.656,5.33,0
10222-12701,1009016050876,7110200901621030202,13.723745,0.0529158812889454,43.09757,-8.51048,4.82,0,7110200901621,54406.2757736575,1.4,30,3227.37,4030.56,131048,370,0,7.8,3.509,5.34,0
10222-12701,1009016050876,7110200901631029989,13.727862,0.0529153991185278,43.09745,-8.51046,4.83,0,7110200901631,54406.2822779166,1.38,30,3213.64,4053.44,131071,358,0,8,3.602,5.32,0
10222-12701,1009016050876,7110200901641030041,13.729436,0.0529210684522101,43.09753,-8.51051,4.51,0,7110200901641,54406.2887842595,1.37,30,3238.3,4048.48,130801,360,0,7.9,3.559,5.42,0
10222-12701,1009016050876,7111100901611034059,13.724248,0.052916363603068,43.09744,-8.51045,4.52,0,7111100901611,54415.2720582872,1.36,30,3186.22,4055.5,131025,372,2,7.8,3.578,5.41,0
10222-12701,1009016050876,7111100901621030380,13.715996,0.0528977214161474,43.09754,-8.51048,4.8,0,7111100901621,54415.2798192012,1.35,30,3186.81,4033.46,131919,403,0,7.7,3.458,5.47,0
10222-12701,1009016050876,7111100901631029638,13.723506,0.0529164894477859,43.09755,-8.51046,4.83,0,7111100901631,54415.287587882,1.35,30,3176.84,4055.56,131019,381,0,8,3.556,5.41,0
10222-12701,1009016050876,7111100901641034189,13.719822,0.0529011874768924,43.09744,-8.51048,4.77,0,7111100901641,54415.2953300462,1.35,30,3200.55,4049.69,131752,379,0,7.8,3.561,5.37,0
10222-12701,1009016050876,7111800901611030419,13.725101,0.0529236156059091,43.09752,-8.51045,4.86,0,7111800901611,54422.299105729,1.37,30,3212.2,3987,130680,356,0,8,3.54,5.33,0
