InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
9870-1902,1143062052793,16.91,0.07,233.16506,44.53426,53552.24906,0
9870-1902,1143062052793,16.88,0.07,233.16496,44.53424,53552.25982,0
9870-1902,1143062052793,16.89,0.07,233.16495,44.53427,53552.27055,0
9870-1902,1143062052793,16.81,0.07,233.16501,44.53419,53552.28131,0
9870-1902,1143062052793,16.84,0.08,233.16494,44.53429,53531.30493,0
9870-1902,1143062052793,16.83,0.08,233.16493,44.53428,53531.31166,0
9870-1902,1143062052793,16.88,0.08,233.16496,44.53431,53531.31839,0
9870-1902,1143062052793,16.80,0.08,233.16509,44.53429,53531.32508,0
9870-1902,1143062052793,16.83,0.08,233.16498,44.53424,53848.29212,0
9870-1902,1143062052793,16.91,0.08,233.16507,44.53425,53848.30031,0
9870-1902,1143062052793,16.93,0.08,233.16498,44.53421,53848.30847,0
9870-1902,1143062052793,16.90,0.08,233.16502,44.53425,53848.31690,0
9870-1902,1143062052793,16.89,0.08,233.16495,44.53422,53854.40782,0
9870-1902,1143062052793,16.93,0.08,233.16505,44.53429,53854.41432,0
9870-1902,1143062052793,16.84,0.08,233.16507,44.53422,53854.42087,0
9870-1902,1143062052793,16.87,0.08,233.16493,44.53425,53854.42742,0
9870-1902,1143062052793,16.39,0.16,233.16507,44.53411,53900.39417,0
9870-1902,1143062052793,16.92,0.19,233.16519,44.53424,53900.39518,0
9870-1902,1143062052793,16.78,0.18,233.16460,44.53442,53900.39620,0
9870-1902,1143062052793,16.56,0.16,233.16493,44.53408,53900.39720,0
9870-1902,1143062052793,16.90,0.08,233.16499,44.53431,53883.37253,0
9870-1902,1143062052793,16.88,0.08,233.16501,44.53422,54204.45301,0
9870-1902,1143062052793,16.81,0.08,233.16499,44.53424,54204.46114,0
9870-1902,1143062052793,16.91,0.08,233.16496,44.53429,54204.46934,0
9870-1902,1143062052793,16.87,0.08,233.16494,44.53422,54204.47755,0
9870-1902,1143062052793,16.79,0.08,233.16510,44.53429,54138.51514,0
9870-1902,1143062052793,16.80,0.08,233.16505,44.53411,54138.51946,0
9870-1902,1143062052793,16.92,0.08,233.16492,44.53430,54138.52376,0
9870-1902,1143062052793,16.83,0.08,233.16506,44.53419,54138.52807,0
9870-1902,1143062052793,16.77,0.08,233.16490,44.53420,54261.35909,0
9870-1902,1143062052793,16.87,0.08,233.16507,44.53423,54261.36591,0
9870-1902,1143062052793,16.85,0.08,233.16491,44.53424,54261.37269,0
9870-1902,1143062052793,16.86,0.08,233.16507,44.53414,54261.37951,0
9870-1902,1143062052793,16.97,0.08,233.16501,44.53427,54273.27683,0
9870-1902,1143062052793,16.82,0.08,233.16497,44.53420,54273.28341,0
9870-1902,1143062052793,16.83,0.08,233.16496,44.53428,54273.28998,0
9870-1902,1143062052793,16.88,0.08,233.16494,44.53423,54273.29655,0
9870-1902,1143062052793,16.86,0.08,233.16501,44.53427,54178.40311,0
9870-1902,1143062052793,16.85,0.08,233.16506,44.53423,54178.40910,0
9870-1902,1143062052793,16.85,0.08,233.16493,44.53420,54178.41517,0
9870-1902,1143062052793,16.76,0.08,233.16504,44.53432,54178.42124,0
9870-1902,1143062052793,16.95,0.08,233.16487,44.53421,54232.39699,0
9870-1902,1143062052793,16.88,0.08,233.16499,44.53429,54232.40398,0
9870-1902,1143062052793,16.89,0.08,233.16490,44.53425,54232.41101,0
9870-1902,1143062052793,16.92,0.08,233.16496,44.53432,54232.41805,0
9870-1902,1143062052793,16.84,0.08,233.16500,44.53427,54245.35636,0
9870-1902,1143062052793,16.83,0.08,233.16498,44.53427,54245.36413,0
9870-1902,1143062052793,16.87,0.08,233.16500,44.53421,54245.37186,0
9870-1902,1143062052793,16.88,0.08,233.16501,44.53428,54245.37954,0
9870-1902,1143062052793,16.97,0.09,233.16501,44.53439,54389.09268,0
9870-1902,1143062052793,16.72,0.09,233.16509,44.53430,54389.09537,0
9870-1902,1143062052793,16.83,0.09,233.16489,44.53432,54389.09804,0
9870-1902,1143062052793,16.81,0.09,233.16481,44.53428,54389.10073,0
9870-1902,1143062052793,16.85,0.08,233.16498,44.53420,54627.37090,0
9870-1902,1143062052793,16.92,0.08,233.16483,44.53432,54627.37959,0
9870-1902,1143062052793,16.86,0.08,233.16490,44.53435,54627.38833,0
9870-1902,1143062052793,16.85,0.08,233.16516,44.53426,54627.39701,0
9870-1902,1143062052793,16.89,0.08,233.16509,44.53427,54537.43101,0
9870-1902,1143062052793,16.89,0.08,233.16499,44.53436,54537.43764,0
9870-1902,1143062052793,16.86,0.08,233.16503,44.53427,54537.44446,0
9870-1902,1143062052793,16.85,0.09,233.16499,44.53423,54537.45131,0
9870-1902,1143062052793,16.85,0.08,233.16497,44.53426,54594.38916,0
9870-1902,1143062052793,16.90,0.08,233.16495,44.53421,54594.39594,0
9870-1902,1143062052793,16.81,0.08,233.16497,44.53423,54594.40266,0
9870-1902,1143062052793,16.86,0.08,233.16497,44.53423,54594.40940,0
9870-1902,1143062052793,16.86,0.09,233.16495,44.53427,54733.10441,0
9870-1902,1143062052793,16.85,0.09,233.16479,44.53425,54733.11027,0
9870-1902,1143062052793,16.91,0.09,233.16502,44.53430,54733.11618,0
9870-1902,1143062052793,16.85,0.09,233.16509,44.53427,54733.12199,0
9870-1902,1143062052793,16.85,0.08,233.16499,44.53424,54923.41961,0
9870-1902,1143062052793,16.85,0.08,233.16507,44.53417,54923.42459,0
9870-1902,1143062052793,16.79,0.08,233.16498,44.53423,54923.42960,0
9870-1902,1143062052793,16.85,0.08,233.16500,44.53426,54923.43483,0
9870-1902,1143062052793,16.86,0.08,233.16508,44.53423,54943.41824,0
9870-1902,1143062052793,16.92,0.08,233.16490,44.53429,54943.42372,0
9870-1902,1143062052793,16.88,0.08,233.16490,44.53427,54943.42921,0
9870-1902,1143062052793,16.86,0.08,233.16493,44.53432,54943.43464,0
9870-1902,1143062052793,16.98,0.09,233.16490,44.53422,55044.21213,0
9870-1902,1143062052793,16.87,0.09,233.16481,44.53423,55044.21915,0
9870-1902,1143062052793,16.81,0.09,233.16478,44.53418,55044.22610,0
9870-1902,1143062052793,16.83,0.09,233.16491,44.53427,55044.23295,0
9870-1902,1143062052793,16.87,0.08,233.16487,44.53425,54865.43598,0
9870-1902,1143062052793,16.87,0.08,233.16499,44.53425,54865.44575,0
9870-1902,1143062052793,16.85,0.08,233.16500,44.53422,54865.45564,0
9870-1902,1143062052793,16.92,0.08,233.16499,44.53431,54865.46547,0
9870-1902,1143062052793,16.90,0.08,233.16508,44.53430,54875.48188,0
9870-1902,1143062052793,16.82,0.08,233.16503,44.53430,54875.48680,0
9870-1902,1143062052793,16.87,0.08,233.16488,44.53426,54875.49162,0
9870-1902,1143062052793,16.92,0.08,233.16494,44.53422,54875.49655,0
9870-1902,1143062052793,16.94,0.09,233.16488,44.53434,55017.28451,0
9870-1902,1143062052793,16.92,0.09,233.16483,44.53436,55017.29190,0
9870-1902,1143062052793,16.84,0.09,233.16497,44.53421,55017.29931,0
9870-1902,1143062052793,16.78,0.09,233.16486,44.53429,55017.30664,0
9870-1902,1143062052793,16.94,0.08,233.16490,44.53433,55005.28071,0
9870-1902,1143062052793,16.83,0.08,233.16493,44.53426,55005.28915,0
9870-1902,1143062052793,16.91,0.08,233.16501,44.53427,55005.31246,0
9870-1902,1143062052793,16.80,0.08,233.16485,44.53428,55005.32091,0
9870-1902,1143062052793,16.85,0.08,233.16503,44.53425,54892.44381,0
9870-1902,1143062052793,16.88,0.08,233.16501,44.53430,54892.45141,0
9870-1902,1143062052793,16.85,0.08,233.16494,44.53420,54892.45908,0
9870-1902,1143062052793,16.82,0.08,233.16493,44.53431,54892.46667,0
9870-1902,1143062052793,16.88,0.08,233.16499,44.53438,54905.49023,0
9870-1902,1143062052793,17.01,0.08,233.16486,44.53436,54905.49516,0
9870-1902,1143062052793,16.90,0.08,233.16496,44.53443,54905.50007,0
9870-1902,1143062052793,16.93,0.08,233.16487,44.53435,54905.50497,0
9870-1902,1143062052793,16.82,0.08,233.16515,44.53427,54914.38086,0
9870-1902,1143062052793,16.88,0.08,233.16500,44.53427,54914.38933,0
9870-1902,1143062052793,16.88,0.08,233.16501,44.53434,54914.39780,0
9870-1902,1143062052793,16.96,0.08,233.16498,44.53434,54914.40644,0
9870-1902,1143062052793,16.86,0.08,233.16498,44.53429,54955.38626,0
9870-1902,1143062052793,16.92,0.08,233.16480,44.53427,54955.39359,0
9870-1902,1143062052793,16.87,0.08,233.16498,44.53427,54955.40087,0
9870-1902,1143062052793,16.83,0.08,233.16494,44.53424,54955.40810,0
9870-1902,1143062052793,16.89,0.08,233.16486,44.53430,54965.37790,0
9870-1902,1143062052793,16.89,0.08,233.16497,44.53429,54965.38357,0
9870-1902,1143062052793,16.82,0.08,233.16481,44.53426,54965.38948,0
9870-1902,1143062052793,16.87,0.08,233.16508,44.53434,54965.39535,0
9870-1902,1143062052793,16.86,0.08,233.16491,44.53430,54981.28580,0
9870-1902,1143062052793,16.86,0.08,233.16499,44.53435,54981.30045,0
9870-1902,1143062052793,16.86,0.09,233.16501,44.53437,55104.09629,0
9870-1902,1143062052793,16.85,0.09,233.16494,44.53437,55104.10122,0
