obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
55711.439857200000,14.195,0.023,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,9621013003457,233.96831700000000,57.902651000000000,100082,6,55711.440767200000,809,14.203000000000000,21.369,27.556000000000000,2.1500000000000000,2.431,0,131074,0,1,9621013,0.052431000000000000,12.828928000000000
56405.481617200000,14.190,0.103,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,15897536003351,233.96833200000000,57.902649000000000,100082,6,56405.483157200000,1480,13.974000000000000,21.157,27.435000000000000,2.2500000000000000,2.509,0,131074,1,1,15897536,0.052431000000000000,12.828928000000000
56428.339177200000,14.091,0.024,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,16104582003506,233.96836200000000,57.902648000000000,100082,6,56428.340377200000,1503,14.087000000000000,21.565,27.655000000000000,2.5500000000000000,3.843,0,131072,1,1,16104582,0.052431000000000000,12.828928000000000
54977.269367200000,14.322,0.027,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,12105578004353,233.96836000000000,57.902647000000000,100082,6,54977.270347200000,96,14.298000000000000,21.681,27.210000000000000,1.9500000000000000,2.212,0,131075,0,1,12105578,0.052431000000000000,12.828928000000000
55704.314767200000,14.148,0.026,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,16548890003463,233.96832900000000,57.902651000000000,100082,6,55704.315827200000,802,14.124000000000000,21.316,27.541000000000000,2.5500000000000000,2.884,0,131074,1,1,16548890,0.052431000000000000,12.828928000000000
56826.257137200000,14.281,0.026,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,21863691003802,233.96837100000000,57.902652000000000,100082,6,56826.257567200000,1895,14.277000000000000,21.517,27.710000000000000,2.3500000000000000,2.671,0,131075,0,1,21863691,0.052431000000000000,12.828928000000000
55707.321877200000,14.181,0.024,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,12931923003736,233.96834000000000,57.902651000000000,100082,6,55707.322877200000,805,14.194000000000000,21.510,27.602000000000000,2.2500000000000000,2.548,0,131074,1,1,12931923,0.052431000000000000,12.828928000000000
56432.450427200000,14.196,0.022,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,16127171003610,233.96833700000000,57.902657000000000,100082,6,56432.451537200000,1507,14.192000000000000,21.507,27.624000000000000,2.2500000000000000,2.540,0,131074,1,1,16127171,0.052431000000000000,12.828928000000000
56432.420367200000,14.196,0.022,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,16127147003741,233.96833900000000,57.902655000000000,100082,6,56432.421487200000,1507,14.188000000000000,21.623,27.641000000000000,2.1500000000000000,2.402,0,131074,1,1,16127147,0.052431000000000000,12.828928000000000
55036.217777200000,14.357,0.112,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,12660392003664,233.96836900000000,57.902656000000000,100082,6,55036.217217200000,150,14.296000000000000,21.239,27.041000000000000,1.9500000000000000,2.164,0,131074,1,1,12660392,0.052431000000000000,12.828928000000000
56758.520627200000,14.296,0.025,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,19802073002657,233.96835700000000,57.902651000000000,100082,6,56758.522257200000,1830,14.281000000000000,20.773,27.551000000000000,2.4500000000000000,2.742,0,131074,1,1,19802073,0.052431000000000000,12.828928000000000
56857.232617200000,14.307,0.107,1000822060001458,233.968346,57.902654000000000,2,0,2.171927E-07,608,534,105,14.102,0.0070000000000000000,14.203000000000000,14.339,14.215,14.344000000000000,0.108,0.028000000000000000,21644304003734,233.96836900000000,57.902655000000000,100082,6,56857.232197200000,1926,14.210000000000000,21.386,27.534000000000000,2.1500000000000000,2.528,0,131074,0,1,21644304,0.052431000000000000,12.828928000000000
