obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle,ROW_IDX,ROW_NUM
55714.356187200000,14.642000000000000,0.026000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,9636406001971,233.968378,57.902651000000000,100082,6,55714.3570272,812,14.642000000000000,21.476000000000000,27.782,3.25,3.746,0,131072,0,1,9636406,0.054203000000000000,57.899049000000000,0,0
55804.185787200000,14.443000000000000,0.026000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,10461517002189,233.968384,57.902650000000000,100082,6,55804.1844172,902,14.455000000000000,21.589000000000000,27.747,2.45,2.879,0,131072,0,1,10461517,0.054203000000000000,57.899049000000000,1,1
55649.306537200000,14.680000000000000,0.026000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,9989776001796,233.968362,57.902645000000000,100082,6,55649.3081872,747,14.668000000000000,21.490000000000000,27.713,3.25,3.794,0,131072,0,1,9989776,0.054203000000000000,57.899049000000000,2,2
55685.400227200000,14.684000000000000,0.022000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,14322455002369,233.968359,57.902652000000000,100082,6,55685.4016372,783,14.687000000000000,21.867000000000000,27.776,2.25,2.733,0,131072,1,1,14322455,0.054203000000000000,57.899049000000000,3,3
55662.498057200000,14.636000000000000,0.068000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,10034568001870,233.968381,57.902641000000000,100082,6,55662.4996872,760,14.617000000000000,21.271000000000000,27.796,4.05,4.556,0,131072,0,1,10034568,0.054203000000000000,57.899049000000000,4,4
55800.207827200000,14.488000000000000,0.166000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,10407339001992,233.968368,57.902653000000000,100082,6,55800.2065272,898,14.562000000000000,21.403000000000000,27.608,2.25,2.628,0,131072,0,1,10407339,0.054203000000000000,57.899049000000000,5,5
55829.120297200000,14.379000000000000,0.028000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,10536215001900,233.968364,57.902658000000000,100082,6,55829.1186672,927,14.397000000000000,21.327000000000000,27.717,2.65,2.985,0,131072,0,1,10536215,0.054203000000000000,57.899049000000000,6,6
54975.403787200000,14.774000000000000,0.029000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,12108866002338,233.968391,57.902642000000000,100082,6,54975.4048172,94,14.744000000000000,21.686000000000000,27.376,2.75,3.246,0,131072,0,1,12108866,0.054203000000000000,57.899049000000000,7,7
55713.200857200000,14.650000000000000,0.335000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,9624606002291,233.968340,57.902647000000000,100082,6,55713.2017172,811,14.141000000000000,21.178000000000000,27.273,2.55,3.003,0,131072,0,1,9624606,0.054203000000000000,57.899049000000000,8,8
55687.345157200000,14.691000000000000,0.024000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,14305378002366,233.968370,57.902654000000000,100082,6,55687.3465372,785,14.688000000000000,21.748000000000000,27.707,2.45,2.885,0,131072,1,1,14305378,0.054203000000000000,57.899049000000000,9,9
55829.166597200000,14.386000000000000,0.028000000000000000,1000821060000957,233.96836400000000,57.902648000000000,1,0,1.530369E-07,172,171,158,14.641,0.0080000000000000000,14.672000000000000,14.672000000000000,14.645,14.643000000000000,0.17100000000000000,0.16900000000000000,10536255001869,233.968377,57.902653000000000,100082,6,55829.1649672,927,14.394000000000000,21.246000000000000,27.663,2.65,3.141,0,131072,0,1,10536255,0.054203000000000000,57.899049000000000,10,10
