oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
748215300029094,147030678,2459224.8119566226,59224.306782400000,15.1928253,0.0106390323,0,zr,117.96619180000000,49.814327800000000,2.56100011,0.274,20210110306782,748,15,3,21.1100006,26.3123798,0.0222248062,0.0970474407,0.000007320503,30.0,1.05700004,2
748215300029094,147128706,2459225.7922340482,59225.287060200000,15.2237988,0.0106649185,0,zr,117.96622980000000,49.814341100000000,2.95099998,0.320,20210111287037,748,15,3,21.2399998,26.2984161,0.0216966961,0.0938232020,0.000006974718,30.0,1.08000004,2
748215300029094,147138320,2459225.8883797377,59225.383206000000,15.2199478,0.0106616179,0,zr,117.96623820000000,49.814310000000000,3.06900001,0.280,20210111383206,748,15,3,21.3500004,26.2697449,0.0199594256,0.0901520699,0.000005951472,30.0,1.04700005,3
748215300029094,147138414,2459225.8893172360,59225.384143500000,15.2018423,0.0106464121,0,zr,117.96620470000000,49.814324300000000,3.13899994,0.321,20210111384144,748,15,3,21.4500008,26.2765884,0.0196681600,0.0892662629,0.000005774369,30.0,1.04799998,1
748215300029094,147140054,2459225.9057177090,59225.400544000000,15.2386770,0.0106778955,0,zr,117.96624320000000,49.814348000000000,2.72499990,0.136,20210111400532,748,15,3,20.5300007,26.0723076,0.0237116143,0.0948655158,0.000008497192,30.0,1.06500006,2
748215300029094,147227833,2459226.7835052456,59226.278333300000,15.2419758,0.0106808199,0,zr,117.96621490000000,49.814343000000000,3.23499990,0.157,20210112278299,748,15,3,20.9899998,26.3090267,0.0233457573,0.0947385803,0.000007947317,30.0,1.09000003,3
748215300029094,147228168,2459226.7868617380,59226.281689800000,15.2505016,0.0106884642,0,zr,117.96623680000000,49.814322000000000,3.24300003,0.144,20210112281690,748,15,3,20.9300003,26.3105659,0.0269309580,0.0917251706,0.000010701548,30.0,1.08399999,2
748215300029094,147242729,2459226.9324632190,59226.427291700000,15.2141571,0.0106566977,0,zr,117.96619740000000,49.814344600000000,2.47700000,0.218,20210112427268,748,15,3,20.8099995,26.2712994,0.0237242933,0.0956006050,0.000008270706,30.0,1.11500001,2
748215300029094,147328496,2459227.7901337473,59227.284965300000,15.2660122,0.0107026743,0,zr,117.96615200000000,49.814302300000000,3.81100011,0.334,20210113284873,748,15,3,21.1599998,26.1107101,0.0231464654,0.0918108746,0.000007866500,30.0,1.07500005,1
748215300029094,147328592,2459227.7910943420,59227.285925900000,15.3073130,0.0107424743,0,zr,117.96615000000000,49.814338000000000,3.57599998,0.483,20210113285903,748,15,3,21.1599998,26.1131344,0.0228839200,0.0928818434,0.000007732725,30.0,1.07299995,3
748215300029094,147328686,2459227.7920318380,59227.286863400000,15.2774973,0.0107134543,0,zr,117.96613580000000,49.814341600000000,3.19300008,0.222,20210113286863,748,15,3,21.3099995,26.1422310,0.0231650248,0.0879703835,0.000007992929,30.0,1.07200003,2
748215300029094,147332459,2459227.8297631834,59227.324594900000,15.2723236,0.0107085714,0,zr,117.96623830000000,49.814313000000000,3.03200006,0.241,20210113324595,748,15,3,21.5400009,26.2230682,0.0237237085,0.0872735456,0.000008289369,30.0,1.03699994,2
748215300029094,147424156,2459228.7467261350,59228.241562500000,15.2414246,0.0106803318,0,zr,117.96621330000000,49.814327600000000,3.60599995,0.298,20210114241551,748,15,3,21.6100006,26.3179970,0.0229991861,0.0817010403,0.000007830812,30.0,1.15999997,2
748215300029094,147432681,2459228.8319802615,59228.326817100000,15.2653084,0.0107020205,0,zr,117.96617770000000,49.814311700000000,4.06199980,0.463,20210114326806,748,15,3,21.5900002,26.3209343,0.0220207125,0.0888723806,0.000007162338,30.0,1.03499997,3
748215300029094,147446896,2459228.9741321640,59228.468969900000,15.2766523,0.0107126534,0,zr,117.96619140000000,49.814329100000000,3.36199999,0.310,20210114468970,748,15,3,21.2000008,26.2953491,0.0204020198,0.0926387906,0.000006158781,30.0,1.25600004,2
748215300029094,147525960,2459229.7647634703,59229.259606500000,15.1228580,0.0105859656,0,zr,117.96618960000000,49.814348400000000,2.18499994,-0.009,20210115259606,748,15,3,19.9899998,26.3200760,0.0356174707,0.0833937004,0.000018904298,30.0,1.11000001,2
748215300029094,147625689,2459230.7620469695,59230.256898100000,15.2583246,0.0106955823,0,zr,117.96623760000000,49.814355700000000,3.17700005,0.293,20210116256887,748,15,3,21.4200001,26.3138752,0.0216979943,0.0907892585,0.000006995787,30.0,1.11000001,2
748215300029094,147628261,2459230.7877643490,59230.282615700000,15.2699413,0.0107063362,0,zr,117.96620840000000,49.814341600000000,2.54800010,0.250,20210116282604,748,15,3,21.4300003,26.3184910,0.0214890894,0.0863304809,0.000006940824,30.0,1.06700003,3
748215300029094,147645116,2459230.9563160916,59230.451169000000,15.2804136,0.0107162250,0,zr,117.96615470000000,49.814312000000000,3.66700006,0.405,20210116451123,748,15,3,21.2299995,26.3030701,0.0223069657,0.0923547298,0.000007337460,30.0,1.21000004,2
748215300029094,147730563,2459231.8107752986,59231.305636600000,15.2239552,0.0106650526,0,zr,117.96617070000000,49.814344100000000,3.12199998,0.101,20210117305637,748,15,3,20.6700001,26.2934761,0.0248978939,0.0941059291,0.000009178111,30.0,1.04200006,2
748215300029094,147732399,2459231.8291316056,59231.323993100000,15.2531910,0.0106908996,0,zr,117.96615780000000,49.814364900000000,3.67499995,0.268,20210117323993,748,15,3,20.9699993,26.2797718,0.0236669593,0.0960035250,0.000008292923,30.0,1.03400004,3
748215300029094,147732493,2459231.8300690968,59231.324930600000,15.2596388,0.0106967883,0,zr,117.96618390000000,49.814339900000000,2.97600007,0.305,20210117324931,748,15,3,21.0799999,26.2802353,0.0216133874,0.0912850648,0.000006938407,30.0,1.03400004,1
748215300029094,147736162,2459231.8667585053,59231.361620400000,15.2481604,0.0106863528,0,zr,117.96614070000000,49.814348400000000,3.48900008,0.311,20210117361620,748,15,3,21.2700005,26.2887325,0.0210102908,0.0899484903,0.000006527931,30.0,1.04299998,2
748215300029094,147830271,2459232.8078473364,59232.302719900000,15.2428923,0.0106816376,0,zr,117.96624520000000,49.814368300000000,3.61899996,0.235,20210118302708,748,15,3,21.6900005,26.3324242,0.0205568727,0.0795485675,0.000006296169,30.0,1.04200006,2
748215300029094,147832451,2459232.8296410760,59232.324513900000,15.2030983,0.0106474506,0,zr,117.96621150000000,49.814336800000000,2.62599993,0.296,20210118324317,748,15,3,21.6599998,26.3216286,0.0223496668,0.0905790478,0.000007435683,30.0,1.03299999,3
748215300029094,147840832,2459232.9134479380,59232.408321800000,15.2129669,0.0106556946,0,zr,117.96622970000000,49.814357400000000,3.66300011,0.245,20210118408299,748,15,3,21.6399994,26.3214760,0.0232098885,0.0818528906,0.000007921213,30.0,1.10899997,2
