JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2455982.147,2012-02-24.6451495,ba,2.36,16.881,14.945,0.038,4.034,0.141,V
2455982.149,2012-02-24.6468953,ba,2.38,16.811,15.018,0.043,3.773,0.149,V
2455986.147,2012-02-28.6451003,ba,2.27,16.738,14.878,0.04,4.291,0.16,V
2455986.149,2012-02-28.6468333,ba,2.3,16.841,14.925,0.038,4.108,0.146,V
2455998.124,2012-03-11.6216041,bb,1.67,16.268,14.746,0.054,4.847,0.241,V
2455998.126,2012-03-11.6232516,bb,1.75,16.198,14.719,0.057,4.97,0.257,V
2456000.099,2012-03-13.5967508,ba,2.34,16.343,14.969,0.063,3.948,0.225,V
2456000.101,2012-03-13.5983893,ba,2.35,16.332,14.854,0.057,4.389,0.228,V
2456004.104,2012-03-17.6010222,ba,2.08,16.825,14.906,0.038,4.184,0.148,V
2456004.106,2012-03-17.6027593,ba,2.12,16.884,14.971,0.039,3.938,0.141,V
2456004.108,2012-03-17.6046900,bb,2.01,16.816,14.7,0.032,5.057,0.148,V
2456004.109,2012-03-17.6064416,bb,2.02,16.745,14.719,0.035,4.97,0.157,V
2456015.073,2012-03-28.5700166,ba,2.2,16.998,14.887,0.032,4.255,0.125,V
2456020.038,2012-04-02.5340260,ba,2.1,16.627,14.782,0.041,4.687,0.174,V
2456020.039,2012-04-02.5357212,ba,2.1,16.803,14.782,0.035,4.688,0.149,V
2456021.033,2012-04-03.5298657,ba,2.25,99.99,99.99,99.99,99.99,99.99,V
2456021.035,2012-04-03.5314630,ba,2.3,16.412,14.831,0.052,4.484,0.212,V
2456021.037,2012-04-03.533125,ba,2.31,16.454,14.76,0.047,4.785,0.204,V
2456029.044,2012-04-11.5399674,ba,2.35,16.452,14.868,0.052,4.33,0.203,V
2456029.045,2012-04-11.5416211,ba,2.34,16.438,14.797,0.049,4.622,0.206,V
2456038.004,2012-04-20.4999207,ba,2.07,16.954,14.9,0.034,4.21,0.13,V
2456038.006,2012-04-20.5016603,ba,2.05,16.966,14.854,0.032,4.388,0.128,V
2456042.024,2012-04-24.5202386,ba,1.68,16.999,14.884,0.032,4.268,0.125,V
2456042.026,2012-04-24.5219871,ba,1.84,16.984,14.897,0.033,4.22,0.127,V
2456336.977,2013-02-13.4755811,ba,2.31,16.666,14.911,0.043,4.166,0.166,V
2456336.978,2013-02-13.4772896,ba,2.33,16.61,14.905,0.046,4.186,0.174,V
2456337.028,2013-02-13.5270945,bb,2.3,17.047,14.925,0.031,4.108,0.117,V
2456337.03,2013-02-13.5288612,bb,2.3,16.948,15.002,0.036,3.83,0.128,V
2456345.058,2013-02-21.5560271,ba,1.69,16.143,14.906,0.07,4.184,0.268,V
2456345.059,2013-02-21.5576450,ba,1.68,16.222,14.87,0.063,4.323,0.249,V
2456352.14,2013-02-28.6377152,ba,2.18,16.234,14.921,0.065,4.126,0.247,V
2456352.141,2013-02-28.6393353,ba,2.16,16.178,14.915,0.068,4.152,0.259,V
2456354.106,2013-03-02.6036832,ba,2.16,16.492,14.916,0.051,4.146,0.194,V
2456354.107,2013-03-02.6053239,ba,2.16,16.425,14.992,0.058,3.865,0.207,V
2456357.091,2013-03-05.5890688,ba,1.8,16.772,14.929,0.04,4.097,0.15,V
2456357.093,2013-03-05.5907629,ba,1.76,16.767,14.935,0.04,4.072,0.151,V
2456365.018,2013-03-13.5157659,ba,1.8,16.952,14.978,0.035,3.914,0.127,V
2456365.02,2013-03-13.5174871,ba,1.79,16.914,14.892,0.034,4.241,0.132,V
2456376.952,2013-03-25.4489354,ba,2.12,16.131,14.925,0.072,4.111,0.271,V
2456376.954,2013-03-25.4505504,ba,2.1,16.31,14.874,0.058,4.308,0.23,V
2456376.977,2013-03-25.4733862,bb,2.14,16.379,14.972,0.06,3.936,0.216,V
2456377.949,2013-03-26.4457111,ba,2.25,15.824,14.754,0.082,4.811,0.36,V
2456377.951,2013-03-26.4472916,ba,2.23,15.727,15.079,0.121,3.569,0.393,V
2456377.97,2013-03-26.4662796,bb,1.61,99.99,99.99,99.99,99.99,99.99,V
2456377.971,2013-03-26.4677961,bb,2.09,99.99,99.99,99.99,99.99,99.99,V
2456387.093,2013-04-04.5896435,bb,1.79,16.993,15.01,0.035,3.803,0.123,V
2456387.095,2013-04-04.5913685,bb,1.9,16.921,15.022,0.038,3.76,0.131,V
2456387.945,2013-04-05.4412751,ba,2.42,16.724,14.938,0.042,4.062,0.157,V
2456387.947,2013-04-05.4429989,ba,2.41,16.754,14.906,0.04,4.184,0.153,V
2456390.073,2013-04-07.5697740,bb,2.02,16.961,14.984,0.035,3.892,0.127,V
2456390.075,2013-04-07.5712254,bb,2.03,16.976,14.988,0.035,3.877,0.124,V
2456391.043,2013-04-08.5397572,ba,2.1,16.859,15.025,0.04,3.747,0.139,V
2456393.062,2013-04-10.5586394,bb,2.09,17.053,14.933,0.031,4.084,0.116,V
2456393.064,2013-04-10.5600896,bb,2.07,17.165,14.987,0.029,3.882,0.105,V
2456393.988,2013-04-11.4842133,ba,2.25,16.845,14.894,0.036,4.228,0.141,V
2456393.989,2013-04-11.4856912,ba,2.28,16.877,14.919,0.036,4.134,0.137,V
2456396.964,2013-04-14.4599619,bb,1.97,14.843,>14.843,99.99,2.462,0.887,V
2456396.965,2013-04-14.4614122,bb,1.78,14.885,14.755,0.194,4.807,0.853,V
2456397.967,2013-04-15.4636603,ba,2.16,16.716,14.886,0.041,4.261,0.158,V
2456397.969,2013-04-15.4651362,ba,2.16,16.625,14.983,0.048,3.898,0.172,V
2456399.975,2013-04-17.4712982,bb,2.03,15.551,14.737,0.104,4.885,0.463,V
2456399.977,2013-04-17.4727484,bb,2.03,16.03,15.087,0.092,3.542,0.298,V
2456400.933,2013-04-18.4290375,ba,2.24,16.752,14.919,0.04,4.135,0.153,V
2456400.935,2013-04-18.4309298,ba,2.29,16.754,14.989,0.043,3.875,0.153,V
2456402.063,2013-04-19.5596186,bb,2.06,17.062,14.993,0.032,3.862,0.116,V
2456402.065,2013-04-19.5610689,bb,2.05,17.054,15.027,0.034,3.741,0.116,V
2456402.95,2013-04-20.4461324,ba,2.1,16.6,14.977,0.049,3.92,0.176,V
2456402.952,2013-04-20.4481878,ba,2.1,16.505,14.858,0.048,4.372,0.192,V
2456403.994,2013-04-21.4897871,bb,2.08,16.661,14.917,0.044,4.14,0.167,V
2456403.997,2013-04-21.4934043,bb,2.1,16.706,15,0.045,3.836,0.16,V
2456406.941,2013-04-24.4372077,ba,2.14,16.037,14.831,0.072,4.483,0.295,V
2456406.943,2013-04-24.4389915,ba,2.14,16.135,14.872,0.068,4.315,0.27,V
2456412.915,2013-04-30.4111290,bb,1.73,16.686,14.873,0.041,4.313,0.163,V
2456412.917,2013-04-30.4130496,bb,1.74,16.523,14.872,0.048,4.318,0.189,V
2456412.946,2013-04-30.4424812,ba,2.26,16.526,14.956,0.052,3.992,0.189,V
2456434.918,2013-05-22.41445,bb,1.67,16.494,14.852,0.048,4.396,0.194,V
2456434.92,2013-05-22.4161766,bb,1.77,16.354,14.87,0.056,4.325,0.221,V
2456436.915,2013-05-24.4116003,ba,2.5,15.81,14.953,0.1,4.005,0.364,V
2456436.917,2013-05-24.4133355,ba,2.45,15.984,14.959,0.085,3.984,0.31,V
2456444.008,2013-05-31.5045539,bb,1.81,16.808,14.998,0.041,3.844,0.145,V
2456444.01,2013-05-31.5062846,bb,1.9,16.723,14.898,0.041,4.218,0.157,V
2456449.88,2013-06-06.3771240,ba,2.5,16.734,14.843,0.038,4.433,0.156,V
2456449.892,2013-06-06.3886265,bb,2.01,16.817,14.921,0.038,4.129,0.144,V
2456449.893,2013-06-06.3900281,bb,2.04,16.862,14.917,0.036,4.143,0.139,V
2456451.01,2013-06-07.5072641,bb,1.83,16.771,14.891,0.039,4.24,0.151,V
2456451.012,2013-06-07.5086410,bb,1.98,16.753,14.953,0.042,4.005,0.153,V
2456454.884,2013-06-11.3806972,bb,2.02,99.99,99.99,99.99,99.99,99.99,V
2456454.885,2013-06-11.3821349,bb,2.07,99.99,99.99,99.99,99.99,99.99,V
2456458.858,2013-06-15.3547739,ba,2.13,16.575,14.87,0.045,4.322,0.18,V
2456458.859,2013-06-15.3561559,ba,2.15,16.523,14.993,0.053,3.86,0.189,V
2456459.847,2013-06-16.343775,bb,1.71,16.779,14.93,0.04,4.094,0.15,V
2456459.848,2013-06-16.3451621,bb,1.71,16.724,14.895,0.041,4.223,0.157,V
2456462.839,2013-06-19.3363233,ba,1.8,16.36,14.917,0.058,4.142,0.22,V
2456462.84,2013-06-19.3377347,ba,1.87,16.264,14.954,0.066,4.002,0.24,V
2456462.946,2013-06-19.4435328,bb,1.78,16.388,14.864,0.054,4.348,0.214,V
2456462.948,2013-06-19.4449280,bb,1.81,16.327,14.783,0.053,4.685,0.227,V
2456465.948,2013-06-22.4454128,bb,2.14,15.96,14.83,0.077,4.487,0.317,V
2456465.949,2013-06-22.4467888,bb,2.1,15.877,14.843,0.085,4.432,0.342,V
2456466.85,2013-06-23.3477215,ba,2.02,14.917,>14.917,99.99,3.869,0.829,V
2456466.851,2013-06-23.3490802,ba,2.06,14.679,>14.679,99.99,4.62,1.032,V
2456468.828,2013-06-25.3259331,ba,1.84,99.99,99.99,99.99,99.99,99.99,V
2456468.83,2013-06-25.3273650,ba,1.74,99.99,99.99,99.99,99.99,99.99,V
2456468.953,2013-06-25.4505607,bb,2.02,16.182,14.698,0.056,5.067,0.259,V
2456468.954,2013-06-25.4519420,bb,2.01,16.313,14.95,0.062,4.017,0.229,V
2456470.811,2013-06-27.3089918,ba,2.06,16.759,14.899,0.039,4.213,0.152,V
2456470.813,2013-06-27.3103743,ba,2.02,16.763,14.918,0.04,4.137,0.152,V
2456473.859,2013-06-30.3570703,bb,1.82,16.846,14.918,0.037,4.138,0.141,V
2456473.86,2013-06-30.3584429,bb,1.86,16.951,14.939,0.034,4.057,0.128,V
2456474.856,2013-07-01.3535526,ba,1.84,16.778,14.954,0.041,4.003,0.15,V
2456474.857,2013-07-01.3549403,ba,1.84,16.704,14.948,0.043,4.026,0.16,V
2456477.842,2013-07-04.3397545,bb,2.01,16.929,14.871,0.033,4.318,0.13,V
2456477.843,2013-07-04.3411597,bb,2.02,16.953,14.994,0.036,3.857,0.127,V
2456478.82,2013-07-05.3180138,ba,1.79,16.852,14.858,0.035,4.374,0.14,V
2456478.821,2013-07-05.3194120,ba,1.84,16.789,14.926,0.039,4.105,0.148,V
2456479.82,2013-07-06.3188081,ba,1.91,16.803,14.897,0.038,4.219,0.146,V
2456479.822,2013-07-06.3202449,ba,1.87,16.788,14.954,0.04,4,0.148,V
2456482.841,2013-07-09.3391001,bb,1.76,16.892,14.958,0.037,3.986,0.135,V
2456483.817,2013-07-10.3156253,ba,2.34,16.755,14.882,0.039,4.276,0.153,V
2456483.819,2013-07-10.3172038,ba,2.25,16.814,14.868,0.036,4.333,0.145,V
2456485.837,2013-07-12.3353988,bb,2.04,16.829,14.898,0.037,4.214,0.143,V
2456485.838,2013-07-12.3367811,bb,2.05,16.781,14.995,0.042,3.854,0.149,V
2456487.787,2013-07-14.2861277,ba,1.75,16.728,14.883,0.04,4.273,0.157,V
2456487.789,2013-07-14.2875008,ba,1.77,16.841,14.934,0.038,4.075,0.141,V
2456488.829,2013-07-15.3283460,bb,1.9,16.741,14.891,0.04,4.239,0.155,V
2456488.831,2013-07-15.3297270,bb,1.76,16.785,14.95,0.04,4.016,0.149,V
2456490.806,2013-07-17.3045805,ba,1.75,16.413,14.826,0.051,4.504,0.209,V
2456490.807,2013-07-17.3059387,ba,1.85,16.41,14.979,0.059,3.911,0.21,V
2456492.811,2013-07-19.3097813,bb,1.84,16.382,14.921,0.057,4.123,0.215,V
2456492.812,2013-07-19.3111417,bb,1.78,16.463,14.785,0.047,4.676,0.2,V
2456497.787,2013-07-24.2862820,ba,1.82,16.203,14.981,0.071,3.906,0.255,V
2456497.788,2013-07-24.2876372,ba,1.66,16.151,14.847,0.066,4.418,0.267,V
2456505.81,2013-08-01.3100656,bb,2.39,16.76,14.921,0.04,4.128,0.153,V
2456506.793,2013-08-02.2927848,bb,2.07,16.8,14.889,0.038,4.248,0.147,V
2456506.794,2013-08-02.2942137,bb,2.09,16.779,14.908,0.039,4.175,0.15,V
2456508.785,2013-08-04.2855465,ba,1.83,16.652,14.878,0.044,4.291,0.17,V
2456508.787,2013-08-04.2870171,ba,1.78,16.575,14.903,0.047,4.197,0.182,V
2456511.821,2013-08-07.3218296,bb,1.77,16.835,14.964,0.039,3.965,0.142,V
2456511.823,2013-08-07.3233075,bb,1.87,16.881,14.928,0.036,4.1,0.136,V
2456516.747,2013-08-12.2479304,ba,1.75,16.548,14.918,0.049,4.136,0.185,V
2456516.749,2013-08-12.2492886,ba,1.65,16.584,14.862,0.045,4.357,0.179,V
2456517.778,2013-08-13.2786960,bb,2.36,16.642,14.826,0.041,4.501,0.17,V
2456517.779,2013-08-13.2800862,bb,2.39,16.699,14.863,0.04,4.35,0.161,V
2456520.763,2013-08-16.2636149,ba,1.75,16.257,15.107,0.076,3.475,0.241,V
2456520.764,2013-08-16.2649862,ba,1.76,16.37,14.86,0.054,4.367,0.218,V
2456521.769,2013-08-17.2705057,bb,2.06,16.395,14.823,0.052,4.512,0.213,V
2456521.771,2013-08-17.2718729,bb,2.06,16.359,14.884,0.056,4.269,0.22,V
2456523.754,2013-08-19.2550920,ba,2.03,16.079,14.959,0.078,3.985,0.284,V
2456523.755,2013-08-19.2564641,ba,2.05,16.012,14.869,0.076,4.329,0.302,V
2456523.768,2013-08-19.2689156,bb,2.05,16.232,14.907,0.065,4.178,0.247,V
2456523.769,2013-08-19.2702763,bb,2.07,16.102,14.865,0.07,4.343,0.278,V
2456527.787,2013-08-23.2880461,bb,2.28,16.145,14.878,0.068,4.292,0.267,V
2456527.788,2013-08-23.2894376,bb,2.25,16.362,14.844,0.054,4.428,0.22,V
2456528.74,2013-08-24.2410773,ba,1.69,16.57,14.858,0.045,4.374,0.181,V
2456528.741,2013-08-24.2424442,ba,1.7,16.498,15.07,0.059,3.597,0.193,V
2456535.73,2013-08-31.2314934,ba,1.76,16.272,15.086,0.073,3.544,0.238,V
2456535.731,2013-08-31.2328537,ba,1.76,16.246,14.882,0.062,4.275,0.244,V
2456538.722,2013-09-03.2237208,ba,1.85,15.461,14.601,0.099,5.54,0.502,V
2456538.723,2013-09-03.2250931,ba,1.83,15.503,14.83,0.118,4.485,0.483,V
2456539.724,2013-09-04.2259730,bb,2.24,16.247,15.138,0.079,3.378,0.244,V
2456539.725,2013-09-04.2273334,bb,2.17,16.343,14.82,0.054,4.528,0.223,V
2456544.728,2013-09-09.2307878,bb,2.18,16.603,14.899,0.046,4.209,0.176,V
2456544.73,2013-09-09.2321584,bb,2.13,16.638,14.906,0.044,4.183,0.171,V
2456651.123,2013-12-24.6248775,bc,1.71,16.349,14.863,0.056,4.354,0.222,V
2456651.124,2013-12-24.6261920,bc,1.64,16.374,14.88,0.055,4.283,0.217,V
2456652.112,2013-12-25.6143152,bc,1.63,16.355,14.878,0.056,4.293,0.221,V
2456652.113,2013-12-25.6156783,bc,1.7,16.394,14.982,0.06,3.9,0.213,V
2456652.136,2013-12-25.6385776,bd,2.17,16.428,14.868,0.052,4.333,0.207,V
2456652.138,2013-12-25.6399018,bd,2.24,16.407,14.84,0.052,4.445,0.211,V
2456657.109,2013-12-30.6106186,bc,1.42,16.583,15.032,0.052,3.726,0.179,V
2456657.11,2013-12-30.6119225,bc,1.45,16.615,14.97,0.048,3.946,0.173,V
2456657.156,2013-12-30.6580987,bd,1.78,16.663,14.87,0.042,4.325,0.166,V
2456657.157,2013-12-30.6594097,bd,1.84,16.539,14.893,0.048,4.235,0.186,V
2456658.127,2013-12-31.6290238,bc,1.58,16.093,14.914,0.074,4.153,0.281,V
2456658.128,2013-12-31.6303350,bc,1.53,16.03,15.093,0.095,3.523,0.306,V
2456675.1,2014-01-17.6010378,bc,1.72,16.183,14.942,0.07,4.047,0.258,V
2456675.102,2014-01-17.6023850,bc,1.7,16.055,14.888,0.075,4.255,0.29,V
2456675.119,2014-01-17.6201439,bd,1.66,16.047,14.863,0.074,4.352,0.293,V
2456675.121,2014-01-17.6214788,bd,1.66,16.196,14.801,0.061,4.607,0.255,V
2456676.096,2014-01-18.5966687,bc,1.8,16.213,14.838,0.062,4.453,0.251,V
2456676.097,2014-01-18.5980141,bc,1.96,16.154,14.946,0.072,4.03,0.265,V
2456677.083,2014-01-19.5832415,bd,2.08,16.159,14.932,0.071,4.087,0.264,V
2456677.084,2014-01-19.5846346,bd,2.09,16.239,14.886,0.063,4.261,0.246,V
2456678.103,2014-01-20.6037562,bc,2.5,16.287,14.929,0.063,4.096,0.235,V
2456678.125,2014-01-20.6252395,bd,1.84,16.308,14.927,0.061,4.101,0.23,V
2456678.126,2014-01-20.6267152,bd,1.85,16.367,14.86,0.055,4.363,0.218,V
2456701.004,2014-02-12.5025425,bc,2.42,15.994,14.943,0.083,4.045,0.307,V
2456701.045,2014-02-12.5444587,bd,1.5,16.233,14.931,0.066,4.089,0.247,V
2456701.047,2014-02-12.5457996,bd,1.49,16.307,14.922,0.061,4.121,0.23,V
2456702.026,2014-02-13.5248045,bc,1.73,15.863,14.941,0.094,4.051,0.347,V
2456702.027,2014-02-13.5261943,bc,1.65,15.984,14.895,0.08,4.226,0.31,V
2456730.057,2014-03-13.5544064,bd,1.5,16.382,14.854,0.054,4.391,0.215,V
2456730.059,2014-03-13.5557055,bd,1.48,16.393,14.811,0.051,4.565,0.213,V
2456733.94,2014-03-17.4362912,bc,2.07,15.472,14.772,0.115,4.732,0.497,V
2456733.941,2014-03-17.4375891,bc,2.09,15.492,15.175,0.164,3.266,0.488,V
2456734.133,2014-03-17.6295177,bd,1.46,15.942,14.823,0.078,4.517,0.322,V
2456734.134,2014-03-17.6308276,bd,1.41,15.998,15.016,0.089,3.779,0.306,V
2456736.971,2014-03-20.4680504,bc,1.65,16.281,15.044,0.07,3.683,0.236,V
2456736.973,2014-03-20.4693502,bc,1.68,16.436,14.976,0.057,3.924,0.204,V
2456736.985,2014-03-20.4814432,bd,1.44,16.201,14.87,0.064,4.325,0.254,V
2456736.986,2014-03-20.4827400,bd,1.48,16.273,14.962,0.065,3.971,0.238,V
2456741.123,2014-03-24.6199019,bd,2.02,16.453,14.871,0.051,4.32,0.202,V
2456741.125,2014-03-24.6212379,bd,1.78,16.587,14.853,0.044,4.392,0.178,V
2456742.111,2014-03-25.6075957,bc,1.76,16.7,14.968,0.044,3.952,0.161,V
2456742.113,2014-03-25.6089084,bc,1.91,16.7,14.992,0.045,3.864,0.161,V
2456742.142,2014-03-25.6387503,bd,1.48,16.557,14.896,0.047,4.219,0.183,V
2456742.144,2014-03-25.6400642,bd,1.46,16.516,15.017,0.055,3.776,0.19,V
2456751.09,2014-04-03.5860138,bd,1.45,16.664,14.9,0.043,4.205,0.166,V
2456751.091,2014-04-03.5873378,bd,1.48,16.662,14.876,0.042,4.302,0.166,V
2456752.026,2014-04-04.5215712,bc,1.99,16.651,14.889,0.043,4.249,0.168,V
2456752.027,2014-04-04.5229013,bc,1.94,16.781,14.869,0.037,4.33,0.149,V
2456755.871,2014-04-08.3667694,bd,1.56,16.231,14.986,0.07,3.887,0.247,V
2456755.872,2014-04-08.3681042,bd,1.63,15.919,14.904,0.086,4.189,0.329,V
2456757.062,2014-04-09.5574606,bc,2.49,16.54,14.918,0.049,4.136,0.186,V
2456757.915,2014-04-10.4108946,bd,1.48,16.329,15.002,0.064,3.827,0.226,V
2456757.916,2014-04-10.4122144,bd,1.5,16.336,14.872,0.057,4.317,0.224,V
2456766.96,2014-04-19.4557131,bc,1.94,15.287,>15.287,99.99,2.326,0.589,V
2456766.961,2014-04-19.4572040,bc,1.59,13.988,>13.988,99.99,4.153,1.951,V
2456771.961,2014-04-24.4566961,bd,1.86,16.652,14.899,0.043,4.211,0.168,V
2456771.963,2014-04-24.4587989,bd,1.92,16.553,14.898,0.048,4.214,0.184,V
2456772.956,2014-04-25.4518774,bd,2.23,16.392,14.922,0.056,4.122,0.213,V
2456772.958,2014-04-25.4533231,bd,2.21,16.522,15.014,0.055,3.787,0.189,V
2456781.931,2014-05-04.4264937,bd,1.48,16.636,14.924,0.045,4.112,0.17,V
2456781.932,2014-05-04.4278311,bd,1.5,16.501,14.811,0.046,4.564,0.193,V
2456782.756,2014-05-05.2519434,bc,1.43,15.245,14.898,0.159,4.212,0.613,V
2456782.758,2014-05-05.2532847,bc,1.41,15.858,14.886,0.091,4.257,0.351,V
2456783.929,2014-05-06.4245651,bc,1.7,16.782,14.983,0.042,3.896,0.149,V
2456783.93,2014-05-06.4259023,bc,1.72,16.756,14.892,0.039,4.235,0.152,V
2456783.943,2014-05-06.4381945,bd,1.56,16.687,14.966,0.045,3.959,0.162,V
2456783.944,2014-05-06.4395166,bd,1.57,16.725,14.867,0.039,4.339,0.157,V
2456784.757,2014-05-07.2523814,bc,1.98,16.242,14.993,0.069,3.86,0.244,V
2456784.758,2014-05-07.2537188,bc,1.83,16.205,14.919,0.067,4.132,0.253,V
2456784.932,2014-05-07.4271943,bd,1.71,16.597,14.905,0.046,4.189,0.176,V
2456784.933,2014-05-07.4285406,bd,1.61,16.616,14.962,0.048,3.973,0.173,V
2456785.749,2014-05-08.2446506,bc,1.58,16.084,15.195,0.097,3.205,0.283,V
2456785.75,2014-05-08.2459841,bc,1.52,16.154,14.929,0.071,4.095,0.265,V
2456787.797,2014-05-10.2927622,bc,1.99,16.276,14.844,0.059,4.43,0.237,V
2456787.798,2014-05-10.2941064,bc,2.06,16.247,14.919,0.064,4.134,0.243,V
2456787.935,2014-05-10.4311979,bd,1.47,16.476,15.051,0.059,3.661,0.197,V
2456787.937,2014-05-10.4325197,bd,1.45,16.389,15.028,0.063,3.736,0.214,V
2456788.911,2014-05-11.4067284,bc,1.71,16.342,14.844,0.055,4.43,0.223,V
2456788.912,2014-05-11.4080644,bc,1.72,16.276,14.995,0.067,3.856,0.237,V
2456788.916,2014-05-11.4121343,bd,1.49,16.322,14.899,0.059,4.209,0.227,V
2456788.918,2014-05-11.4134724,bd,1.49,16.281,15.001,0.067,3.833,0.236,V
2456796.032,2014-05-18.5279163,bc,1.87,16.344,15.003,0.064,3.827,0.223,V
2456796.033,2014-05-18.5292620,bc,2.31,16.302,14.786,0.054,4.672,0.231,V
2456796.046,2014-05-18.5415715,bd,1.46,16.329,14.91,0.059,4.166,0.226,V
2456796.047,2014-05-18.5429173,bd,1.47,16.266,14.978,0.067,3.915,0.239,V
2456797.03,2014-05-19.5258736,bc,1.75,16.392,14.948,0.058,4.023,0.213,V
2456797.031,2014-05-19.5272520,bc,1.72,16.313,14.859,0.057,4.365,0.229,V
2456797.047,2014-05-19.5425785,bd,1.45,16.349,14.838,0.054,4.452,0.222,V
2456797.048,2014-05-19.5439358,bd,1.48,16.362,15.041,0.065,3.694,0.219,V
2456797.944,2014-05-20.4398027,bd,1.44,16.61,14.929,0.046,4.094,0.174,V
2456797.945,2014-05-20.4411766,bd,1.46,16.588,14.91,0.047,4.168,0.178,V
2456797.958,2014-05-20.4537355,bc,1.67,16.627,14.974,0.048,3.931,0.172,V
2456797.959,2014-05-20.4551283,bc,1.62,16.68,14.924,0.043,4.117,0.164,V
2456798.971,2014-05-21.4671159,bd,1.48,16.589,15.012,0.051,3.794,0.178,V
2456798.973,2014-05-21.4684918,bd,1.47,16.584,14.893,0.046,4.233,0.178,V
2456800.897,2014-05-23.3926444,bc,1.44,16.859,15.009,0.04,3.803,0.139,V
2456800.898,2014-05-23.3939979,bc,1.46,16.789,14.917,0.039,4.142,0.148,V
2456801.911,2014-05-24.4069151,bd,1.41,16.722,14.952,0.043,4.01,0.157,V
2456801.912,2014-05-24.4082834,bd,1.47,16.699,14.906,0.042,4.184,0.161,V
2456802.89,2014-05-25.3857447,bc,1.71,16.681,14.907,0.043,4.177,0.163,V
2456802.891,2014-05-25.3870803,bc,1.72,16.762,14.995,0.043,3.856,0.152,V
2456804.91,2014-05-27.4056166,bd,1.45,16.723,15.043,0.046,3.687,0.157,V
2456804.911,2014-05-27.4070597,bd,1.42,16.618,14.938,0.046,4.065,0.173,V
2456805.895,2014-05-28.3906656,bc,2.04,16.782,14.941,0.04,4.051,0.149,V
2456805.896,2014-05-28.3920193,bc,2.03,16.692,14.905,0.042,4.189,0.162,V
2456807.94,2014-05-30.4358731,bd,1.62,16.714,14.993,0.045,3.863,0.159,V
2456807.941,2014-05-30.4372262,bd,1.58,16.642,14.92,0.045,4.131,0.169,V
2456808.879,2014-05-31.3747804,bc,2.11,16.366,14.933,0.058,4.081,0.218,V
2456808.88,2014-05-31.3761415,bc,2.14,16.484,14.866,0.049,4.343,0.196,V
2456811.929,2014-06-03.4250557,bc,1.57,16.808,14.95,0.039,4.015,0.145,V
2456811.93,2014-06-03.4263789,bc,1.57,16.8,14.969,0.04,3.949,0.146,V
2456812.009,2014-06-03.5053791,bd,1.5,16.62,14.919,0.046,4.134,0.173,V
2456812.01,2014-06-03.5067347,bd,1.5,16.561,14.854,0.045,4.387,0.182,V
2456812.874,2014-06-04.3700758,bc,1.54,16.73,14.928,0.042,4.1,0.156,V
2456812.875,2014-06-04.3714313,bc,1.49,16.763,14.887,0.039,4.26,0.151,V
2456813.84,2014-06-05.3362511,bc,1.72,15.808,15.102,0.114,3.492,0.365,V
2456813.9,2014-06-05.3961135,bd,1.51,16.049,14.828,0.071,4.494,0.292,V
2456813.901,2014-06-05.3974756,bd,1.62,16.099,14.861,0.07,4.36,0.279,V
2456814.869,2014-06-06.3656295,bc,1.53,16.554,15.031,0.054,3.728,0.183,V
2456814.871,2014-06-06.3669814,bc,1.55,16.392,14.922,0.056,4.123,0.213,V
2456815.872,2014-06-07.3684725,bc,1.62,16.558,14.941,0.049,4.052,0.183,V
2456815.873,2014-06-07.3698420,bc,1.6,16.6,14.925,0.047,4.111,0.176,V
2456816.883,2014-06-08.3792189,bd,1.45,16.329,14.972,0.063,3.938,0.226,V
2456816.884,2014-06-08.3806228,bd,1.51,16.419,14.908,0.054,4.178,0.208,V
2456818.869,2014-06-10.3657513,bc,1.4,16.271,14.932,0.064,4.086,0.238,V
2456818.871,2014-06-10.3671722,bc,1.39,16.337,15.086,0.069,3.543,0.224,V
2456818.875,2014-06-10.3714434,bd,1.49,16.254,14.955,0.066,3.997,0.242,V
2456818.876,2014-06-10.3728366,bd,1.49,16.288,14.899,0.061,4.211,0.234,V
2456819.858,2014-06-11.3550916,bc,1.47,16.135,14.926,0.072,4.106,0.27,V
2456819.86,2014-06-11.3564859,bc,1.42,16.182,14.949,0.07,4.021,0.259,V
2456821.974,2014-06-13.4703738,bd,1.63,14.905,>14.905,99.99,2.955,0.838,V
2456821.975,2014-06-13.4718074,bd,1.52,15.407,14.789,0.124,4.657,0.528,V
2456822.959,2014-06-14.4560431,bc,1.76,16.099,14.975,0.078,3.926,0.279,V
2456822.961,2014-06-14.4574652,bc,1.69,16.061,14.835,0.071,4.465,0.289,V
2456823.884,2014-06-15.3803065,bc,2.03,16.309,14.869,0.058,4.329,0.23,V
2456823.972,2014-06-15.4690284,bd,1.8,16.056,14.842,0.072,4.439,0.29,V
2456823.974,2014-06-15.4706656,bd,1.95,16.048,15.005,0.084,3.82,0.293,V
2456824.874,2014-06-16.3705684,bc,1.63,16.351,14.946,0.06,4.035,0.221,V
2456824.875,2014-06-16.3720167,bc,1.6,16.52,14.841,0.047,4.443,0.189,V
2456824.969,2014-06-16.4653995,bd,1.51,16.227,14.793,0.058,4.641,0.248,V
2456824.97,2014-06-16.4668973,bd,1.49,16.333,15.027,0.066,3.742,0.225,V
