JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2458999.834,2020-05-30.3308844,bt,1.49,16.93,15.336,0.05,2.666,0.123,g
2458999.836,2020-05-30.3320983,bt,1.47,16.946,15.394,0.052,2.524,0.121,g
2459000.816,2020-05-31.3129561,bs,1.44,16.722,15.282,0.058,2.802,0.149,g
2459000.818,2020-05-31.3141710,bs,1.44,16.658,15.28,0.062,2.803,0.158,g
2459000.819,2020-05-31.3153907,bs,1.42,16.742,15.272,0.056,2.826,0.146,g
2459000.854,2020-05-31.3508212,bt,1.49,16.886,15.465,0.059,2.366,0.128,g
2459000.855,2020-05-31.3520350,bt,1.47,16.854,15.393,0.057,2.53,0.132,g
2459000.857,2020-05-31.3532594,bt,1.49,16.917,15.302,0.049,2.75,0.124,g
2459003.709,2020-06-03.2057560,bs,1.44,16.254,15.277,0.089,2.813,0.229,g
2459003.71,2020-06-03.2069766,bs,1.5,16.211,15.265,0.092,2.844,0.238,g
2459003.711,2020-06-03.2081939,bs,1.49,16.13,15.383,0.11,2.552,0.257,g
2459004.833,2020-06-04.3295692,bs,1.53,16.134,15.394,0.111,2.524,0.256,g
2459004.834,2020-06-04.3307791,bs,1.46,16.062,15.282,0.107,2.799,0.273,g
2459004.835,2020-06-04.3320049,bs,1.42,16.044,15.251,0.106,2.882,0.278,g
2459004.898,2020-06-04.3951442,bD,1.5,16.331,15.216,0.078,2.977,0.213,g
2459004.9,2020-06-04.3964245,bD,1.53,16.403,15.094,0.066,3.331,0.2,g
2459004.901,2020-06-04.3977128,bD,1.55,16.313,15.333,0.089,2.671,0.217,g
2459006.827,2020-06-06.3234929,bs,1.45,16.13,15.288,0.101,2.785,0.257,g
2459006.828,2020-06-06.3247050,bs,1.4,16.098,15.418,0.117,2.47,0.264,g
2459006.829,2020-06-06.3259223,bs,1.4,15.923,15.475,0.145,2.343,0.31,g
2459006.868,2020-06-06.3644768,bt,1.47,15.758,15.247,0.137,2.892,0.361,g
2459006.869,2020-06-06.3656939,bt,1.49,15.865,15.315,0.132,2.717,0.328,g
2459006.87,2020-06-06.3669123,bt,1.54,15.837,15.435,0.152,2.432,0.336,g
2459007.845,2020-06-07.3414167,bs,1.57,16.184,15.38,0.105,2.558,0.244,g
2459007.846,2020-06-07.3426363,bs,1.61,15.949,15.213,0.111,2.985,0.303,g
2459007.847,2020-06-07.3438425,bs,1.6,15.992,15.326,0.119,2.689,0.291,g
2459008.329,2020-06-07.8257766,bo,1.5,15.653,15.43,0.178,2.445,0.398,g
2459008.33,2020-06-07.8269898,bo,1.46,15.53,>15.530,99.99,2.089,0.446,g
2459008.331,2020-06-07.8282077,bo,1.5,15.635,15.608,0.214,2.075,0.405,g
2459008.872,2020-06-08.3687653,bD,1.46,15.567,15.19,0.155,3.048,0.431,g
2459008.873,2020-06-08.3700509,bD,1.46,15.513,>15.513,99.99,2.218,0.453,g
2459008.874,2020-06-08.3713399,bD,1.48,15.648,15.63,0.216,2.033,0.4,g
2459010.883,2020-06-10.3797709,bC,1.43,17.246,15.268,0.035,2.837,0.092,g
2459010.884,2020-06-10.3810598,bC,1.42,17.166,15.229,0.037,2.94,0.099,g
2459010.885,2020-06-10.3823465,bC,1.44,17.158,15.369,0.042,2.585,0.1,g
2459011.871,2020-06-11.3680960,bD,1.67,17.229,15.29,0.037,2.779,0.093,g
2459011.872,2020-06-11.3693924,bD,1.65,17.185,15.267,0.037,2.84,0.097,g
2459011.874,2020-06-11.3706769,bD,1.55,17.234,15.319,0.037,2.707,0.093,g
2459012.847,2020-06-12.3436578,bC,2.19,16.997,15.332,0.047,2.675,0.116,g
2459012.848,2020-06-12.3450243,bC,2.03,16.912,15.187,0.045,3.056,0.125,g
2459012.849,2020-06-12.3463472,bC,2.09,16.908,15.301,0.05,2.751,0.125,g
2459013.977,2020-06-13.4744839,bD,1.73,16.893,15.235,0.047,2.926,0.127,g
2459013.979,2020-06-13.4757972,bD,1.71,17.073,15.381,0.046,2.556,0.108,g
2459013.98,2020-06-13.4771138,bD,1.65,17.016,15.299,0.045,2.757,0.114,g
2459015.27,2020-06-14.76695,bo,1.55,16.685,15.281,0.06,2.803,0.154,g
2459015.271,2020-06-14.7681702,bo,1.57,16.754,15.196,0.052,3.032,0.145,g
2459015.272,2020-06-14.7693966,bo,1.52,16.836,15.218,0.049,2.971,0.134,g
2459015.927,2020-06-15.4240511,bD,1.65,17.191,15.315,0.039,2.717,0.097,g
2459015.928,2020-06-15.4253603,bD,1.62,17.148,15.31,0.04,2.73,0.101,g
2459015.929,2020-06-15.4266686,bD,1.59,17.182,15.403,0.042,2.505,0.097,g
2459015.947,2020-06-15.4439784,bC,1.74,17.199,15.31,0.038,2.731,0.096,g
2459015.948,2020-06-15.4452916,bC,1.8,17.215,15.348,0.039,2.635,0.094,g
2459015.949,2020-06-15.4465929,bC,1.84,17.114,15.377,0.044,2.565,0.104,g
2459019.808,2020-06-19.3050399,bD,1.61,16.126,15.438,0.116,2.426,0.257,g
2459019.809,2020-06-19.3063465,bD,1.52,15.977,15.182,0.105,3.073,0.295,g
2459019.81,2020-06-19.3076565,bD,1.57,16.215,15.321,0.096,2.702,0.237,g
2459019.891,2020-06-19.3888590,bC,2.13,16.262,15.366,0.096,2.591,0.227,g
2459019.893,2020-06-19.3901649,bC,2.24,16.774,15.212,0.052,2.986,0.142,g
2459019.894,2020-06-19.3914641,bC,2.13,16.748,15.365,0.061,2.596,0.145,g
2459019.94,2020-06-19.4370881,bD,2.01,16.944,15.312,0.049,2.724,0.121,g
2459019.941,2020-06-19.4384119,bD,2.07,16.775,15.312,0.057,2.724,0.142,g
2459019.942,2020-06-19.4397207,bD,2.02,16.81,15.357,0.057,2.614,0.137,g
2459021.738,2020-06-21.2359929,bs,1.46,99.99,99.99,99.99,99.99,99.99,g
2459021.74,2020-06-21.2372085,bs,1.5,99.99,99.99,99.99,99.99,99.99,g
2459021.741,2020-06-21.2384256,bs,1.47,17.083,15.33,0.043,2.681,0.107,g
2459022.814,2020-06-22.3112173,bt,1.63,16.882,15.441,0.058,2.418,0.128,g
2459022.815,2020-06-22.3124366,bt,1.62,16.981,15.411,0.051,2.488,0.117,g
2459022.816,2020-06-22.3136549,bt,1.65,16.833,15.308,0.054,2.735,0.134,g
2459024.856,2020-06-24.3538623,bC,1.41,17.293,15.327,0.036,2.687,0.088,g
2459024.858,2020-06-24.3551760,bC,1.41,17.27,15.368,0.038,2.585,0.09,g
2459024.859,2020-06-24.3564836,bC,1.43,17.234,15.31,0.037,2.73,0.093,g
2459026.786,2020-06-26.2840175,bD,1.47,17.171,15.365,0.041,2.594,0.098,g
2459026.788,2020-06-26.2853361,bD,1.49,17.185,15.357,0.041,2.612,0.097,g
2459026.789,2020-06-26.2866478,bD,1.49,17.196,15.382,0.041,2.554,0.096,g
2459028.841,2020-06-28.3386567,bC,1.41,17.03,15.288,0.044,2.784,0.112,g
2459028.842,2020-06-28.3399605,bC,1.37,17.129,15.314,0.041,2.719,0.102,g
2459028.843,2020-06-28.3412736,bC,1.37,17.063,15.289,0.043,2.784,0.109,g
2459030.787,2020-06-30.2849116,bt,1.46,16.231,15.361,0.098,2.603,0.234,g
2459030.788,2020-06-30.2861462,bt,1.48,15.945,15.13,0.103,3.221,0.304,g
2459030.789,2020-06-30.2873670,bt,1.43,16.377,15.562,0.104,2.164,0.204,g
2459031.434,2020-06-30.9324295,bp,1.57,14.668,>14.668,99.99,2.928,0.991,g
2459031.436,2020-06-30.9336469,bp,1.69,14.589,>14.589,99.99,0.65,1.06,g
2459031.437,2020-06-30.9348642,bp,1.69,14.508,>14.508,99.99,0.5,1.143,g
2459031.856,2020-07-01.3543465,bC,1.65,16.694,15.24,0.057,2.912,0.153,g
2459031.858,2020-07-01.3556568,bC,1.57,16.681,15.456,0.071,2.385,0.155,g
2459031.859,2020-07-01.3569710,bC,1.63,16.599,15.268,0.064,2.839,0.167,g
2459034.808,2020-07-04.3064107,bC,1.4,16.452,15.167,0.067,3.112,0.191,g
2459034.809,2020-07-04.3077270,bC,1.38,16.492,15.239,0.069,2.916,0.184,g
2459034.811,2020-07-04.3090510,bC,1.44,16.326,15.397,0.093,2.519,0.214,g
2459036.247,2020-07-05.7456582,bp,1.5,15.681,15.509,0.187,2.274,0.388,g
2459036.249,2020-07-05.7468916,bp,1.48,15.719,15.05,0.118,3.469,0.375,g
2459036.25,2020-07-05.7481091,bp,1.57,15.666,15.142,0.135,3.187,0.393,g
2459036.825,2020-07-06.3233759,bt,1.51,15.704,15.654,0.209,1.989,0.38,g
2459036.826,2020-07-06.3245869,bt,1.49,15.66,15.258,0.151,2.864,0.396,g
2459036.827,2020-07-06.3258041,bt,1.58,15.793,15.493,0.166,2.306,0.35,g
2459037.76,2020-07-07.2579288,bt,1.47,16.172,15.195,0.089,3.033,0.247,g
2459037.761,2020-07-07.2591487,bt,1.47,16.166,15.246,0.094,2.896,0.248,g
2459037.762,2020-07-07.2603657,bt,1.51,16.088,14.947,0.077,3.812,0.267,g
2459037.856,2020-07-07.3540307,bC,1.47,16.706,15.261,0.058,2.856,0.151,g
2459037.857,2020-07-07.3553672,bC,1.5,16.658,15.393,0.068,2.529,0.158,g
2459037.858,2020-07-07.3566925,bC,1.48,16.78,15.409,0.062,2.492,0.141,g
2459039.876,2020-07-09.3746348,bC,1.46,16.923,15.229,0.046,2.941,0.124,g
2459039.877,2020-07-09.3759648,bC,1.43,16.886,15.366,0.054,2.591,0.128,g
2459039.879,2020-07-09.3772820,bC,1.45,16.984,15.219,0.043,2.968,0.117,g
2459040.762,2020-07-10.2607876,bs,1.48,16.703,15.407,0.066,2.497,0.151,g
2459040.763,2020-07-10.2620033,bs,1.45,16.681,15.253,0.059,2.877,0.155,g
2459040.765,2020-07-10.2632226,bs,1.46,16.716,15.481,0.07,2.331,0.15,g
2459040.893,2020-07-10.3913962,bD,1.5,17.007,15.3,0.045,2.754,0.114,g
2459040.894,2020-07-10.3926981,bD,1.48,17.003,15.287,0.045,2.786,0.115,g
2459040.895,2020-07-10.3940104,bD,1.43,16.879,15.289,0.051,2.784,0.129,g
2459041.803,2020-07-11.3018916,bt,1.48,16.386,15.328,0.083,2.684,0.203,g
2459041.804,2020-07-11.3031078,bt,1.58,16.493,15.154,0.064,3.151,0.184,g
2459041.806,2020-07-11.3043226,bt,1.52,16.414,15.393,0.085,2.53,0.198,g
2459042.714,2020-07-12.2126215,bt,1.43,16.943,15.325,0.049,2.691,0.122,g
2459042.715,2020-07-12.2138290,bt,1.45,17.044,15.333,0.045,2.672,0.111,g
2459042.716,2020-07-12.2150486,bt,1.47,17.022,15.332,0.046,2.675,0.113,g
2459043.237,2020-07-12.7352417,bo,1.69,16.761,15.286,0.056,2.79,0.144,g
2459043.238,2020-07-12.7364811,bo,1.73,16.794,15.385,0.06,2.548,0.139,g
2459043.786,2020-07-13.2852325,bC,1.51,17.254,15.357,0.038,2.614,0.091,g
2459043.788,2020-07-13.2865356,bC,1.51,17.196,15.253,0.036,2.876,0.096,g
2459043.789,2020-07-13.2878337,bC,1.54,17.186,15.33,0.039,2.679,0.097,g
2459045.767,2020-07-15.2660518,bs,1.49,17.062,15.252,0.041,2.88,0.109,g
2459045.768,2020-07-15.2672689,bs,1.49,17.02,15.261,0.043,2.856,0.113,g
2459045.77,2020-07-15.2684862,bs,1.49,17.071,15.304,0.043,2.744,0.108,g
2459047.874,2020-07-17.3725878,bD,1.47,16.94,15.306,0.049,2.739,0.122,g
2459047.875,2020-07-17.3738938,bD,1.45,16.931,15.308,0.049,2.736,0.123,g
2459047.876,2020-07-17.3752059,bD,1.47,17.01,15.305,0.045,2.742,0.114,g
2459048.841,2020-07-18.3404150,bC,1.43,17.297,15.297,0.035,2.761,0.088,g
2459048.843,2020-07-18.3417280,bC,1.41,17.261,15.299,0.036,2.758,0.091,g
